family,null,measure,scope,estimate,B,boot_mean,boot_bias,se,pct_lo,pct_hi,basic_lo,basic_hi,norm_lo,norm_hi,mcse_lo,mcse_hi,p_pct_2sided,p_norm_2sided,obs,null_mean,cond_sd,z_cond,z_boot,holm_pct_2sided,holm_norm_2sided
dt,N1,sil,all,0.00848499715659443,1000,0.008168831575497741,-0.0003161655810966883,0.004030053100309685,0.0005085226694415388,0.01618280222358907,0.0007871920895997885,0.01646147164374732,0.0005860930799874483,0.01638390123320141,0.00031652078372363144,0.0003125309131281383,0.042,0.03525384163232632,0.09654049406161969,0.08805549690502526,0.001222935261525192,7.005047508993283,2.1054306098206026,,
dt,N1,sil,V1_V1,0.0009478690687480856,1000,0.00046804896481305393,-0.0004798201039350317,0.003906812299390626,-0.006547900952115815,0.008992244449983977,-0.007096506312487805,0.008443639089611986,-0.006709483038057541,0.008605221175553712,0.0002443753949223356,0.000424682854253251,0.956,0.8083001296439626,,,,,0.2426195568432944,1.0,1.0
dt,N1,sil,HVA_HVA,0.009584792988637908,1000,0.008954700840189688,-0.0006300921484482195,0.008091110321757494,-0.005717936475489589,0.026408252874842615,-0.0072386668975668,0.024887522452765404,-0.0062737832420067825,0.0254433692192826,0.000506432596017475,0.0007522298777923684,0.25,0.23617252273061484,,,,,1.1846078730213094,1.0,1.0
dt,N1,sil,V1_HVA,0.012956648110207717,1000,0.013382755866980187,0.00042610775677246956,0.012697263039111301,-0.01043504914576305,0.03884910676425411,-0.012935810543838678,0.03634834536617848,-0.011929987446450433,0.037843283666865866,0.0009714780481809468,0.001044289718370553,0.302,0.3075253191729429,,,,,1.0204284238498829,1.0,1.0
dt,N1,sil,HVA_V1,0.011921629619671676,1000,0.011737264063999607,-0.0001843655556720697,0.0070265564767561465,-0.001558234850053407,0.025986987498334328,-0.0021437282589909755,0.02540149408939676,-0.0018504210747703701,0.025693680314113725,0.0005149611419989678,0.0007293553295398086,0.09,0.08976224312796502,,,,,1.6966532125812175,0.72,0.7180979450237202
dt,N1,Fsil,all,0.001820126415111859,1000,0.00184172770353633,2.1601288424470937e-05,0.0014077167522919824,-0.0006968314481490618,0.004598208329118655,-0.0009579554988949374,0.004337084278372779,-0.0009389984193804266,0.004579251249604144,8.79034556487287e-05,0.00011446235592563166,0.17,0.19602367449545355,0.08429365104783017,0.0824735246327183,,,1.2929635256157954,,
dt,N1,Fsil,V1_V1,-0.0006408421920725652,1000,-0.0007013506843228732,-6.050849225030803e-05,0.0009399914933477706,-0.002602136589473316,0.0012196571175078265,-0.002501341501652957,0.0013204522053281858,-0.0024832255190341953,0.0012015411348890652,7.627447420044017e-05,9.606685537048065e-05,0.416,0.49539503265352924,,,,,-0.6817531824572284,,
dt,N1,Fsil,HVA_HVA,0.003220217582502435,1000,0.0032336491503329495,1.343156783051476e-05,0.003162116705591658,-0.0025845567834973386,0.009953975872988538,-0.003513540707983668,0.009024991948502209,-0.002977531160457215,0.009417966325462084,0.0001907758549480373,0.0002648763275779357,0.32,0.3085002316354697,,,,,1.0183740457169197,,
dt,N1,Fsil,V1_HVA,0.0004067587206645645,1000,0.0006922759646143385,0.000285517243949774,0.0053775848563398735,-0.009695913450978252,0.011031325654723012,-0.010217808213393883,0.010509430892307381,-0.010133307597761588,0.010946825039090717,0.0003990215257178515,0.00047310613280531367,0.906,0.9397057781973264,,,,,0.07563966567352602,,
dt,N1,Fsil,HVA_V1,0.0028031898717631467,1000,0.0027916768362914695,-1.1513035471677133e-05,0.0014780398140378835,3.5683103863701335e-05,0.00567174311927662,-6.536337575032639e-05,0.005570696639662592,-9.376816375110484e-05,0.005700147907277398,0.0001166363200673948,0.00013448350549882302,0.048,0.057886151842083386,,,,,1.896559108313234,,
dt,N1s,sil,all,0.008456755841382689,0,,,,,,,,,,,,,,,,,,,,
dt,N1s,sil,V1_V1,0.0020132225403575,0,,,,,,,,,,,,,,,,,,,,
dt,N1s,sil,HVA_HVA,0.009426434077637113,0,,,,,,,,,,,,,,,,,,,,
dt,N1s,sil,V1_HVA,0.012704062873261738,0,,,,,,,,,,,,,,,,,,,,
dt,N1s,sil,HVA_V1,0.011164549991611846,0,,,,,,,,,,,,,,,,,,,,
dt,N1s,Fsil,all,0.0018567768414166912,0,,,,,,,,,,,,,,,,,,,,
dt,N1s,Fsil,V1_V1,0.0003690051170156353,0,,,,,,,,,,,,,,,,,,,,
dt,N1s,Fsil,HVA_HVA,0.003104993193320674,0,,,,,,,,,,,,,,,,,,,,
dt,N1s,Fsil,V1_HVA,0.0001645451064851724,0,,,,,,,,,,,,,,,,,,,,
dt,N1s,Fsil,HVA_V1,0.0022760584084921018,0,,,,,,,,,,,,,,,,,,,,
dt,N2,sil,all,0.008547248158443304,1000,0.008063732866084484,-0.0004835152923588198,0.003915191178195664,-1.4336780940190019e-05,0.0159713805560663,0.001123115760820307,0.0171088330978268,0.0008734734491798023,0.016221022867706804,0.00035056057000691307,0.00030306937445874753,0.052,0.02902855382953522,0.09654049406161969,0.08799324590317638,0.001306877599392478,6.313017021692663,2.1830985434489936,,
dt,N2,sil,V1_V1,0.002000828942224536,1000,0.0015822153101885707,-0.0004186136320359652,0.003879422138802205,-0.005362345068769937,0.009745949008526534,-0.005744291124077462,0.009364002953219009,-0.005602838449827786,0.009604496334276857,0.00024321879021024925,0.000381458736285143,0.706,0.6060259718239867,,,,,0.5157543754293014,1.0,1.0
