# a_re a_im b_re b_im | D on the segment ball | D(a)
2563/1520 38/5 3799/2280 38/5 | [7e+2 +/- 11.9] + [-6e+2 +/- 20.7]j | [7.04e+2 +/- 0.142] + [-588.4 +/- 0.0768]j
3799/2280 38/5 7507/4560 38/5 | [7e+2 +/- 13.4] + [-6e+2 +/- 24.9]j | [705.6 +/- 0.0801] + [-5.84e+2 +/- 0.353]j
7507/4560 38/5 309/190 38/5 | [7e+2 +/- 14.9] + [-5.8e+2 +/- 8.94]j | [707.1 +/- 0.0855] + [-5.80e+2 +/- 0.229]j
309/190 38/5 1465/912 38/5 | [7.1e+2 +/- 7.66] + [-6e+2 +/- 33.1]j | [708.6 +/- 0.0913] + [-5.76e+2 +/- 0.105]j
1465/912 38/5 3617/2280 38/5 | [7.1e+2 +/- 7.89] + [-5.7e+2 +/- 7.19]j | [710.1 +/- 0.0863] + [-571.9 +/- 0.0802]j
3617/2280 38/5 2381/1520 38/5 | [7e+2 +/- 19.4] + [-6e+2 +/- 41.4]j | [711.6 +/- 0.0775] + [-567.8 +/- 0.0945]j
2381/1520 38/5 1763/1140 38/5 | [7e+2 +/- 20.9] + [-5.6e+2 +/- 8.62]j | [7.13e+2 +/- 0.144] + [-5.64e+2 +/- 0.419]j
1763/1140 38/5 6961/4560 38/5 | [7e+2 +/- 22.3] + [-6e+2 +/- 49.6]j | [7.15e+2 +/- 0.542] + [-5.60e+2 +/- 0.542]j
6961/4560 38/5 229/152 38/5 | [7e+2 +/- 23.8] + [-6e+2 +/- 53.7]j | [716.0 +/- 0.0902] + [-555.4 +/- 0.0842]j
229/152 38/5 6779/4560 38/5 | [7.2e+2 +/- 8.88] + [-5.5e+2 +/- 7.80]j | [7.17e+2 +/- 0.498] + [-551.3 +/- 0.0893]j
6779/4560 38/5 22/15 38/5 | [7.2e+2 +/- 7.45] + [-5e+2 +/- 52.2]j | [7.19e+2 +/- 0.220] + [-5.47e+2 +/- 0.237]j
22/15 38/5 2199/1520 38/5 | [7.2e+2 +/- 7.98] + [-5.4e+2 +/- 7.99]j | [7.20e+2 +/- 0.346] + [-5.43e+2 +/- 0.113]j
2199/1520 38/5 3253/2280 38/5 | [7e+2 +/- 29.4] + [-5e+2 +/- 43.9]j | [7.22e+2 +/- 0.394] + [-538.9 +/- 0.0890]j
3253/2280 38/5 1283/912 38/5 | [7e+2 +/- 30.8] + [-5e+2 +/- 39.8]j | [7.23e+2 +/- 0.150] + [-534.8 +/- 0.0834]j
