# a_re a_im b_re b_im | D on the segment ball | D(a)
9/2 41/25 9/2 83/50 | [-3.7e+2 +/- 5.41] + [-2.5e+2 +/- 9.10]j | [-370.0 +/- 0.0675] + [-252.6 +/- 0.0711]j
9/2 83/50 9/2 42/25 | [-3.7e+2 +/- 6.34] + [-2.6e+2 +/- 7.79]j | [-369.1 +/- 0.0678] + [-255.7 +/- 0.0902]j
9/2 42/25 9/2 17/10 | [-3.7e+2 +/- 7.27] + [-2.6e+2 +/- 5.30]j | [-368.2 +/- 0.0571] + [-2.59e+2 +/- 0.310]j
9/2 17/10 9/2 43/25 | [-3.7e+2 +/- 8.22] + [-2.6e+2 +/- 8.40]j | [-367.3 +/- 0.0738] + [-261.8 +/- 0.0764]j
9/2 43/25 9/2 87/50 | [-4e+2 +/- 39.2] + [-2.7e+2 +/- 8.60]j | [-3.66e+2 +/- 0.404] + [-264.9 +/- 0.0577]j
9/2 87/50 9/2 44/25 | [-4e+2 +/- 40.2] + [-2.7e+2 +/- 5.53]j | [-365.4 +/- 0.0598] + [-268.0 +/- 0.0664]j
9/2 44/25 9/2 89/50 | [-3.6e+2 +/- 9.06] + [-2.7e+2 +/- 7.69]j | [-3.64e+2 +/- 0.506] + [-271.1 +/- 0.0854]j
9/2 89/50 9/2 9/5 | [-3.6e+2 +/- 8.10] + [-3e+2 +/- 29.4]j | [-363.5 +/- 0.0702] + [-2.74e+2 +/- 0.203]j
9/2 9/5 9/2 91/50 | [-3.6e+2 +/- 7.14] + [-2.8e+2 +/- 6.34]j | [-362.5 +/- 0.0645] + [-277.2 +/- 0.0835]j
9/2 91/50 9/2 46/25 | [-3.6e+2 +/- 6.16] + [-2.8e+2 +/- 6.98]j | [-361.5 +/- 0.0776] + [-280.3 +/- 0.0650]j
9/2 46/25 9/2 93/50 | [-3.6e+2 +/- 5.17] + [-3e+2 +/- 20.3]j | [-360.5 +/- 0.0798] + [-283.4 +/- 0.0610]j
9/2 93/50 9/2 47/25 | [-3.6e+2 +/- 6.15] + [-2.9e+2 +/- 7.14]j | [-359.5 +/- 0.0712] + [-286.5 +/- 0.0799]j
9/2 47/25 9/2 19/10 | [-3.6e+2 +/- 7.19] + [-2.9e+2 +/- 6.27]j | [-358.5 +/- 0.0606] + [-2.90e+2 +/- 0.499]j
9/2 19/10 9/2 48/25 | [-3.6e+2 +/- 8.24] + [-3e+2 +/- 11.1]j | [-357.5 +/- 0.0913] + [-292.6 +/- 0.0913]j
9/2 48/25 9/2 97/50 | [-4e+2 +/- 49.3] + [-3.0e+2 +/- 7.94]j | [-356.4 +/- 0.0800] + [-295.7 +/- 0.0729]j
9/2 97/50 9/2 49/25 | [-4e+2 +/- 50.4] + [-3.0e+2 +/- 5.56]j | [-355.4 +/- 0.0855] + [-298.8 +/- 0.0551]j
9/2 49/25 9/2 99/50 | [-3.5e+2 +/- 9.01] + [-3.0e+2 +/- 8.66]j | [-354.3 +/- 0.0648] + [-301.9 +/- 0.0739]j
9/2 99/50 9/2 2 | [-3.5e+2 +/- 7.94] + [-3.1e+2 +/- 8.74]j | [-353.2 +/- 0.0908] + [-305.0 +/- 0.0926]j
9/2 2 9/2 101/50 | [-3.5e+2 +/- 6.87] + [-3.1e+2 +/- 5.68]j | [-3.52e+2 +/- 0.206] + [-3.08e+2 +/- 0.0995]j
9/2 101/50 9/2 51/25 | [-3.5e+2 +/- 5.78] + [-3.1e+2 +/- 7.94]j | [-3.51e+2 +/- 0.111] + [-311.1 +/- 0.0812]j
9/2 51/25 9/2 103/50 | [-3.5e+2 +/- 5.90] + [-3e+2 +/- 21.1]j | [-3.50e+2 +/- 0.112] + [-314.2 +/- 0.0630]j
9/2 103/50 9/2 52/25 | [-3.5e+2 +/- 7.04] + [-3.2e+2 +/- 6.47]j | [-348.8 +/- 0.0863] + [-317.3 +/- 0.0673]j
9/2 52/25 9/2 21/10 | [-3.5e+2 +/- 8.19] + [-3.2e+2 +/- 7.23]j | [-347.7 +/- 0.0580] + [-320.4 +/- 0.0860]j
9/2 21/10 9/2 53/25 | [-3e+2 +/- 51.4] + [-3e+2 +/- 30.4]j | [-346.6 +/- 0.0972] + [-3.23e+2 +/- 0.509]j
9/2 53/25 9/2 107/50 | [-3e+2 +/- 50.2] + [-3.3e+2 +/- 7.27]j | [-345.4 +/- 0.0687] + [-326.5 +/- 0.0901]j
9/2 107/50 9/2 54/25 | [-3.4e+2 +/- 9.03] + [-3.3e+2 +/- 6.51]j | [-3.44e+2 +/- 0.308] + [-329.6 +/- 0.0719]j
9/2 54/25 9/2 109/50 | [-3.4e+2 +/- 7.86] + [-3e+2 +/- 39.7]j | [-343.1 +/- 0.0811] + [-332.7 +/- 0.0603]j
9/2 109/50 9/2 11/5 | [-3.4e+2 +/- 6.69] + [-3.4e+2 +/- 8.06]j | [-341.9 +/- 0.0641] + [-335.8 +/- 0.0788]j
9/2 11/5 9/2 111/50 | [-3.4e+2 +/- 5.50] + [-3.4e+2 +/- 5.80]j | [-340.7 +/- 0.0595] + [-338.9 +/- 0.0973]j
9/2 111/50 9/2 56/25 | [-3.4e+2 +/- 6.52] + [-3.4e+2 +/- 8.89]j | [-339.5 +/- 0.0629] + [-3.42e+2 +/- 0.116]j
9/2 56/25 9/2 113/50 | [-3.4e+2 +/- 7.75] + [-3.5e+2 +/- 8.86]j | [-338.3 +/- 0.0786] + [-345.0 +/- 0.0813]j
9/2 113/50 9/2 57/25 | [-3.4e+2 +/- 9.00] + [-3.5e+2 +/- 5.79]j | [-3.37e+2 +/- 0.114] + [-348.1 +/- 0.0632]j
9/2 57/25 9/2 23/10 | [-3e+2 +/- 40.7] + [-3.5e+2 +/- 8.18]j | [-335.8 +/- 0.0764] + [-351.2 +/- 0.0712]j
9/2 23/10 9/2 58/25 | [-3.3e+2 +/- 9.41] + [-4e+2 +/- 49.7]j | [-334.6 +/- 0.0909] + [-354.3 +/- 0.0897]j
9/2 58/25 9/2 117/50 | [-3.3e+2 +/- 8.15] + [-3.6e+2 +/- 6.58]j | [-333.3 +/- 0.0695] + [-3.57e+2 +/- 0.409]j
9/2 117/50 9/2 59/25 | [-3.3e+2 +/- 6.89] + [-3.6e+2 +/- 7.46]j | [-332.0 +/- 0.0998] + [-360.4 +/- 0.0910]j
9/2 59/25 9/2 119/50 | [-3.3e+2 +/- 5.61] + [-4e+2 +/- 40.5]j | [-3.31e+2 +/- 0.301] + [-363.5 +/- 0.0730]j
9/2 119/50 9/2 12/5 | [-3.3e+2 +/- 6.69] + [-3.7e+2 +/- 7.37]j | [-3.29e+2 +/- 0.528] + [-366.6 +/- 0.0632]j
