# a_re a_im b_re b_im | D on the segment ball | D(a)
-1/20 253/50 -1/20 126/25 | [4e+2 +/- 55.8] + [-2e+2 +/- 60.1]j | [360.6 +/- 0.0954] + [-1.55e+2 +/- 0.308]j
-1/20 126/25 -1/20 251/50 | [4e+2 +/- 58.4] + [-2e+2 +/- 60.6]j | [357.9 +/- 0.0745] + [-1.55e+2 +/- 0.398]j
-1/20 251/50 -1/20 5 | [4e+2 +/- 61.1] + [-2e+2 +/- 61.2]j | [355.2 +/- 0.0659] + [-154.1 +/- 0.0923]j
-1/20 5 -1/20 249/50 | [4e+2 +/- 63.3] + [-2e+2 +/- 61.3]j | [352.5 +/- 0.0682] + [-153.5 +/- 0.0874]j
-1/20 249/50 -1/20 124/25 | [3e+2 +/- 62.9] + [-2e+2 +/- 61.8]j | [349.8 +/- 0.0815] + [-152.9 +/- 0.0827]j
-1/20 124/25 -1/20 247/50 | [3e+2 +/- 60.7] + [-2e+2 +/- 62.9]j | [3.47e+2 +/- 0.207] + [-152.3 +/- 0.0783]j
-1/20 247/50 -1/20 123/25 | [3e+2 +/- 58.0] + [-2e+2 +/- 63.4]j | [344.5 +/- 0.0678] + [-151.7 +/- 0.0737]j
-1/20 123/25 -1/20 49/10 | [3e+2 +/- 54.8] + [-2e+2 +/- 63.5]j | [341.8 +/- 0.0876] + [-151.1 +/- 0.0693]j
-1/20 49/10 -1/20 122/25 | [3e+2 +/- 52.1] + [-2e+2 +/- 64.1]j | [339.2 +/- 0.0629] + [-150.5 +/- 0.0655]j
-1/20 122/25 -1/20 243/50 | [3e+2 +/- 49.5] + [-1e+2 +/- 63.8]j | [336.6 +/- 0.0941] + [-149.9 +/- 0.0622]j
-1/20 243/50 -1/20 121/25 | [3e+2 +/- 48.5] + [-1e+2 +/- 64.9]j | [3.34e+2 +/- 0.114] + [-149.3 +/- 0.0584]j
-1/20 121/25 -1/20 241/50 | [3e+2 +/- 44.1] + [-1e+2 +/- 62.5]j | [331.3 +/- 0.0844] + [-148.7 +/- 0.0548]j
-1/20 241/50 -1/20 24/5 | [3e+2 +/- 41.5] + [-1e+2 +/- 61.8]j | [328.7 +/- 0.0871] + [-148.1 +/- 0.0551]j
-1/20 24/5 -1/20 239/50 | [3e+2 +/- 38.9] + [-1e+2 +/- 61.2]j | [3.26e+2 +/- 0.201] + [-147.5 +/- 0.0580]j
-1/20 239/50 -1/20 119/25 | [3e+2 +/- 36.3] + [-1e+2 +/- 60.6]j | [323.6 +/- 0.0822] + [-146.9 +/- 0.0595]j
-1/20 119/25 -1/20 237/50 | [3e+2 +/- 34.2] + [-1e+2 +/- 60.5]j | [321.0 +/- 0.0603] + [-146.3 +/- 0.0613]j
-1/20 237/50 -1/20 118/25 | [3e+2 +/- 31.1] + [-1e+2 +/- 59.3]j | [3.18e+2 +/- 0.507] + [-145.7 +/- 0.0625]j
-1/20 118/25 -1/20 47/10 | [3e+2 +/- 28.5] + [-1e+2 +/- 58.7]j | [315.9 +/- 0.0642] + [-145.1 +/- 0.0638]j
-1/20 47/10 -1/20 117/25 | [3e+2 +/- 26.0] + [-1e+2 +/- 58.1]j | [313.4 +/- 0.0728] + [-144.5 +/- 0.0649]j
-1/20 117/25 -1/20 233/50 | [3e+2 +/- 23.4] + [-1e+2 +/- 57.4]j | [310.9 +/- 0.0930] + [-143.9 +/- 0.0658]j
-1/20 233/50 -1/20 116/25 | [3e+2 +/- 20.8] + [-1e+2 +/- 56.8]j | [3.08e+2 +/- 0.404] + [-143.3 +/- 0.0657]j
-1/20 116/25 -1/20 231/50 | [3e+2 +/- 18.2] + [-1e+2 +/- 56.0]j | [3.06e+2 +/- 0.199] + [-142.7 +/- 0.0652]j
-1/20 231/50 -1/20 23/5 | [3e+2 +/- 16.8] + [-1e+2 +/- 56.5]j | [303.4 +/- 0.0848] + [-142.1 +/- 0.0647]j
-1/20 23/5 -1/20 229/50 | [3e+2 +/- 14.6] + [-1e+2 +/- 55.5]j | [300.9 +/- 0.0608] + [-141.5 +/- 0.0647]j
-1/20 229/50 -1/20 114/25 | [3e+2 +/- 15.6] + [-1e+2 +/- 53.5]j | [298.4 +/- 0.0787] + [-140.9 +/- 0.0636]j
-1/20 114/25 -1/20 227/50 | [3e+2 +/- 20.0] + [-1e+2 +/- 54.8]j | [296.0 +/- 0.0788] + [-140.3 +/- 0.0630]j
-1/20 227/50 -1/20 113/25 | [3e+2 +/- 22.1] + [-1e+2 +/- 53.8]j | [293.5 +/- 0.0836] + [-139.7 +/- 0.0614]j
-1/20 113/25 -1/20 9/2 | [3e+2 +/- 22.7] + [-1e+2 +/- 51.4]j | [291.1 +/- 0.0523] + [-139.1 +/- 0.0595]j
-1/20 9/2 -1/20 112/25 | [3e+2 +/- 26.9] + [-1e+2 +/- 52.6]j | [288.7 +/- 0.0717] + [-138.5 +/- 0.0572]j
-1/20 112/25 -1/20 223/50 | [3e+2 +/- 29.5] + [-1e+2 +/- 52.1]j | [286.3 +/- 0.0807] + [-137.9 +/- 0.0548]j
-1/20 223/50 -1/20 111/25 | [3e+2 +/- 30.0] + [-1e+2 +/- 49.7]j | [283.9 +/- 0.0783] + [-137.3 +/- 0.0521]j
-1/20 111/25 -1/20 221/50 | [3e+2 +/- 33.6] + [-1e+2 +/- 50.3]j | [281.5 +/- 0.0665] + [-136.7 +/- 0.0569]j
-1/20 221/50 -1/20 22/5 | [3e+2 +/- 36.7] + [-1e+2 +/- 50.4]j | [279.1 +/- 0.0648] + [-136.1 +/- 0.0605]j
-1/20 22/5 -1/20 219/50 | [3e+2 +/- 37.5] + [-1e+2 +/- 48.3]j | [2.77e+2 +/- 0.305] + [-135.5 +/- 0.0622]j
-1/20 219/50 -1/20 109/25 | [3e+2 +/- 40.3] + [-1e+2 +/- 48.1]j | [274.4 +/- 0.0581] + [-134.9 +/- 0.0668]j
-1/20 109/25 -1/20 217/50 | [3e+2 +/- 43.6] + [-1e+2 +/- 48.5]j | [2.72e+2 +/- 0.103] + [-134.3 +/- 0.0713]j
